team,abbrev,seed,round,pick_pct,pick_count
Iowa Hawkeyes,IOWA,9,E8,0.6531,100924
Vanderbilt Commodores,VAN,5,E8,4.451,687848
McNeese Cowboys,MCN,12,E8,0.3221,49769
Nebraska Cornhuskers,NEB,4,E8,2.7055,418106
Troy Trojans,TROY,13,E8,0.1767,27309
North Carolina Tar Heels,UNC,6,E8,2.9677,458628
VCU Rams,VCU,11,E8,0.2822,43604
Illinois Fighting Illini,ILL,3,E8,11.2569,1739616
Pennsylvania Quakers,PENN,14,E8,0.2798,43244
Saint Mary's Gaels,SMC,7,E8,0.744,114978
Texas A&M Aggies,TA&M,10,E8,0.6248,96557
Houston Cougars,HOU,2,E8,35.4896,5484485
Idaho Vandals,IDHO,15,E8,0.2339,36142
North Carolina Tar Heels,UNC,6,R1,67.9452,10500090
VCU Rams,VCU,11,R1,32.0548,4953673
Nebraska Cornhuskers,NEB,4,R1,86.6476,13390434
Troy Trojans,TROY,13,R1,13.3524,2063464
Miami Hurricanes,MIA,7,R1,61.0893,9440590
Missouri Tigers,MIZ,10,R1,38.9107,6013173
Wisconsin Badgers,WIS,5,R1,82.8303,12800513
High Point Panthers,HPU,12,R1,17.1697,2653385
Texas Tech Red Raiders,TTU,5,R2,40.8186,6308017
Akron Zips,AKR,12,R2,7.1559,1105849
Alabama Crimson Tide,ALA,4,R2,49.1606,7597164
Hofstra Pride,HOF,13,R2,2.8649,442733
Saint Mary's Gaels,SMC,7,R2,6.9764,1078122
Texas A&M Aggies,TA&M,10,R2,5.5555,858544
Houston Cougars,HOU,2,R2,86.0387,13296375
Idaho Vandals,IDHO,15,R2,1.4295,220911
St. John's Red Storm,SJU,5,R2,51.1081,7898122
Northern Iowa Panthers,UNI,12,R2,2.521,389586
Kansas Jayhawks,KU,4,R2,44.5905,6890906
California Baptist Lancers,CBU,13,R2,1.7805,275149
Kansas Jayhawks,KU,4,R1,93.1795,14399864
California Baptist Lancers,CBU,13,R1,6.8205,1054034
Duke Blue Devils,DUKE,1,Championship,23.7101,3664138
Siena Saints,SIE,16,Championship,0.133,20549
Ohio State Buckeyes,OSU,8,Championship,0.3173,49031
TCU Horned Frogs,TCU,9,Championship,0.0725,11209
St. John's Red Storm,SJU,5,Championship,1.1328,175058
Northern Iowa Panthers,UNI,12,Championship,0.0364,5620
Kansas Jayhawks,KU,4,Championship,1.0222,157967
California Baptist Lancers,CBU,13,Championship,0.028,4329
Louisville Cardinals,LOU,6,Championship,0.1855,28669
South Florida Bulls,USF,11,Championship,0.0677,10465
Michigan State Spartans,MSU,3,Championship,1.7986,277952
North Dakota State Bison,NDSU,14,Championship,0.033,5100
UCLA Bruins,UCLA,7,Championship,0.239,36933
UCF Knights,UCF,10,Championship,0.045,6956
UConn Huskies,CONN,2,Championship,3.781,584310
Furman Paladins,FUR,15,Championship,0.0353,5450
Florida Gators,FLA,1,Championship,7.5753,1170675
Prairie View A&M Panthers,PV,16,Championship,0.0614,9482
Clemson Tigers,CLEM,8,Championship,0.1198,18514
Iowa Hawkeyes,IOWA,9,Championship,0.1151,17792
Vanderbilt Commodores,VAN,5,Championship,0.4438,68592
McNeese Cowboys,MCN,12,Championship,0.0718,11098
Nebraska Cornhuskers,NEB,4,Championship,0.4406,68096
Troy Trojans,TROY,13,Championship,0.0303,4678
North Carolina Tar Heels,UNC,6,Championship,0.5413,83652
VCU Rams,VCU,11,Championship,0.0398,6146
Illinois Fighting Illini,ILL,3,Championship,1.3884,214563
Pennsylvania Quakers,PENN,14,Championship,0.0539,8333
Saint Mary's Gaels,SMC,7,Championship,0.0745,11515
Texas A&M Aggies,TA&M,10,Championship,0.1146,17707
Houston Cougars,HOU,2,Championship,6.1962,957551
Idaho Vandals,IDHO,15,Championship,0.041,6329
Arizona Wildcats,ARIZ,1,Championship,20.5961,3182907
Long Island University Sharks,LIU,16,Championship,0.2887,44614
Villanova Wildcats,VILL,8,Championship,0.1598,24696
Utah State Aggies,USU,9,Championship,0.0605,9356
Wisconsin Badgers,WIS,5,Championship,0.5723,88442
High Point Panthers,HPU,12,Championship,0.0425,6571
Arkansas Razorbacks,ARK,4,Championship,1.9982,308794
Hawai'i Rainbow Warriors,HAW,13,Championship,0.0771,11908
BYU Cougars,BYU,6,Championship,0.5008,77392
Texas Longhorns,TEX,11,Championship,0.0987,15248
Gonzaga Bulldogs,GONZ,3,Championship,1.7331,267835
Kennesaw State Owls,KENN,14,Championship,0.0331,5113
Miami Hurricanes,MIA,7,Championship,0.2531,39114
Missouri Tigers,MIZ,10,Championship,0.0862,13320
Purdue Boilermakers,PUR,2,Championship,3.0427,470215
